message,prediction
"Dear Customer,Cash loan by Prefr from Rs.10,000 to Rs.3,00,000 No Hidden Charges & Direct Transfer to your Bank A/C.Click - http://1kx.in/iA7OLb AB Finance",financial
"Dear Customer, Rs.300,000 Cash Loan ready to be credited. Complete the Registration Today - http://1kx.in/3tau5u ABFIN",financial
"Dear customer, 
congrats! Your moneyview personal loan offer of up to Rs. 5,00,000* is ready! Disbursal in minutes. 
Click to apply - http://1kx.in/TpdA2p",financial
"Hey Vishnubhai , Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now https://i.airtel.in/NQPAXO",financial
"Dear Customer,Avail Navi Cash Loan of up to Rs.5,00,000.
No Hidden Charges & Quick Disbursal.

Apply Now - http://gmg.im/esVLte",financial
"Dear Customer,
Good news! Loan up to Rs.300,000 is approved successfully.
Direct Bank Transfer in 10min
Submit details now http://gmg.im/iJrFfm -AB Finance",financial
"Dear customer, 
congrats! Your moneyview personal loan offer of up to Rs. 5,00,000 is ready! Disbursal in minutes. 
Click to apply - http://1kx.in/ihivj5",financial
"Dear Customer,

Cash loan by Prefr from Rs.10,000 to Rs.3,00,000

No Hidden Charges & Direct Transfer to your Bank A/C.

Click - http://1kx.in/iMWPrZ AB Finance",financial
"INSTANT CASH LOAN

Avail Cash loan by NAVI of up to Rs.5,00,000.

No Hidden Charges & Direct Transfer to your Bank A/C.

Click - http://gmg.im/hggVLw",financial
"Dear Customer,

Cash loan by Prefr from Rs.10,000 to Rs.3,00,000

No Hidden Charges & Direct Transfer to your Bank A/C.

Click - http://gmg.im/esO92w AB Finance",financial
"Dear Customer,

You are just 1-step away to get your loan up to Rs. 30,000 to be credited to your bank account.

Download mPokket app now http://1kx.in/jtaxfo",financial
"Hey Vishnubhai , Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now https://i.airtel.in/NQPAXO",financial
"Dear Customer,
Good news! Loan up to Rs.300,000 is approved successfully.
Direct Bank Transfer in 10min
Submit details now http://gmg.im/cRpjhu -AB Finance",financial
"Dear Customer,

Avail Navi Cash Loan of up to Rs.5,00,000.

No Hidden Charges & Quick Disbursal.

Apply Now - http://gmg.im/ibukj5",financial
"Dear customer, 

congrats! Your moneyview personal loan offer of up to Rs. 5,00,000 is ready! Disbursal in minutes. 

Click to apply - http://1kx.in/kkYJTN",financial
"Dear Customer,

Cash loan by Prefr from Rs.10,000 to Rs.3,00,000

No Hidden Charges & Direct Transfer to your Bank A/C.

Click - http://1kx.in/3hXXNe AB Finance",financial
"Hey Vishnubhai , Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now https://i.airtel.in/NQPAXO",financial
"INSTANT CASH LOAN

Avail Cash loan by NAVI of up to Rs.5,00,000.

No Hidden Charges & Direct Transfer to your Bank A/C.

Click - http://gmg.im/bKgPBW",financial
"Dear Customer,
Good news! Loan up to Rs.300,000 is approved successfully.
Direct Bank Transfer in 10min
Submit details now http://gmg.im/dk5vpO -AB Finance",financial
"Dear Customer,

Rs. 60,000 get credited in your Mobikwik account.

Activate now: http://gmg.im/fxOdTv AB FINANCE",financial
"Dear Customer,

Rs. 60,000 get credited in your Mobikwik account.

Activate now: http://1kx.in/ykghKV AB FINANCE",financial
"Hey Vishnubhai , Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now https://i.airtel.in/MVLPPA",financial
"Hey Vishnubhai , Your loan money of up to Rs 5 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now https://i.airtel.in/MVLPPFJ",financial
"Dear Customer, Just For You! Personal Loan on Flipkart. Get loan up to Rs.5 lakhs* instantly. No documents required. 

Apply Now >
http://fkrt.it/cRLC91NNNN",financial
"Dear Customer, Did You Know? You can now get a Personal Loan up to Rs.5 Lakh* on Flipkart. Apply & get approval in just 30secs >

http://fkrt.it/BqwnKpuuuN",financial
"Dear Customer, Did You Know? You can now get a Personal Loan up to Rs.5 Lakh* on Flipkart. Apply & get approval in just 30secs >

http://fkrt.it/ewC5_VNNNN",financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs >

http://fkrt.it/8LxduxuuuN",financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs >

http://fkrt.it/8LxduxuuuN",financial
"Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benifits. To start the process kindly click link 0kb.in/s/KY3TLqm
T&C apply",financial
"Congratulations Khamar Nilesh !

You're pre-qualified for Airtel Axis Bank Credit card. Now enjoy

1. Credit limit - upto Rs 5,00,000
2. Cashback - up to Rs18,000
3. Also enjoy Zero joining fees

Apply today https://i.airtel.in/avail_ZeroJoingFee9",financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs >

http://fkrt.it/l910TyuuuN",financial
"Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benifits. To start the process kindly click link 0kb.in/s/32Eub4m
T&C apply",financial
"Dear Customer, NEW LAUNCH- Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get loan up to Rs.5 Lakhs>

http://fkrt.it/OFSC0VNNNN",financial
"Congratulations Khamar Nilesh !

You're pre-qualified for Airtel Axis Bank Credit card. Now enjoy

1. Credit limit - upto Rs5,00,000
2. Cashback - up to Rs18,000
3. Also enjoy Zero joining fees

Apply Now https://i.airtel.in/enjoy_benefits8v",financial
"Dear Customer, Just For You! Personal Loan on Flipkart. Get loan up to Rs.5 lakhs* instantly. No documents required. 

Apply Now >
http://fkrt.it/cqH!oANNNN",financial
"Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benifits. To start the process kindly click link 0kb.in/s/FLrD3Qm
 T&C apply",financial
"Dear Customer, Pre-Approved Credit Up to Rs.1 Lakh+ Times Prime OFFER worth Rs.10,000* with Flipkart Pay Later. Hurry! Activate Now>

http://fkrt.it/19npoHNNNN",financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs >

http://fkrt.it/61yzKtNNNN",financial
"Dear Customer, Introducing Flipkart Personal Loans with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs. 

Apply Now >
http://fkrt.it/47SmE0uuuN",financial
"Dear Customer, You're Pre-Approved for Credit Up to Rs.1 Lakh+ Rs.500 Gift Card* with Flipkart Pay Later Shop & Pay Later or in EMI>

http://fkrt.it/vXLlcANNNN",financial
"Dear Customer, Introducing Personal Loans with Affordable EMIs. Apply & Get Loan Up to Rs.5 Lakhs. 

Apply on Flipkart>
http://fkrt.it/ECNo3iNNNN",financial
"Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benifits. To start the process kindly click link 0kb.in/s/IZ6C8om
T&C apply",financial
"Don't let financial constraints hold you back. Activate MobiKwik ZIP and get instant credit of Rs. 60,000 with 0 interest. Click w6em.app.link/kxzip -MobiKwik",financial
"Login Successful!
Submit basic details to get your EMI Network Card now with limit upto 2 Lacs, click 
http://BajFin.in/Mb2YQJ10

Bajaj Finance Ltd",financial
Your Home Loan offer is just 5 minutes away! Avail an ICICI Bank Express Home Loan at an attractive interest rate. Visit bit.ly/3MfZMlk to avail. T&Cs.,financial
Apply for an ICICI Bank Express Home Loan digitally in 5 simple steps with minimal documentation. Visit bit.ly/3MfZMlk to avail. T&Cs.,financial
"Attractive interest rate, special processing fee & digital sanction. Apply for an ICICI Bank Express Home Loan. Visit bit.ly/3MfZMlk to avail. T&Cs.",financial
"ANGEL ONE at EOD 15/07/2023 reported your Fund bal Rs 0.000 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE",financial
Dear Customer Big savings are calling you! Enjoy banking with no monthly minimum balance and upto 4% interest p.a with Kotak811. https://kotk.in/sjrgIH -KBank,financial
"Dear Customer, Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get a loan up to Rs.5 Lakhs >

http://fkrt.it/DerPUGuuuN",financial
"Your Credit Card of Limit Upto 5 Lac Has been Approved with many Benifits. To start the process kindly click link 0kb.in/s/I4TtDMm
T&C apply",financial
"Dear Customer, NEW LAUNCH- Introducing Personal Loan on Flipkart with affordable EMIs. Apply & Get loan up to Rs.5 Lakhs>

http://fkrt.it/IGzhOHNNNN",financial
"Good News!! Loan Amount of INR 50,000.00 Can Be Successfully Approved within 5 mins. Check Now : m01.in/4f9pbn!5td9qm7",financial
"Dear customer, Rent Bachat Days are live on Freecharge. Pay rent using credit card at lowest service fee, just 1.2%. Till 4 June only: https://fcr.bz/y0b6jc",financial
"Hi Customer,
Your Pre-Approved personal loan of Rs. 225000 with lower EMIs is ready for disbursal on Bajaj Markets. Click http://nc6.in/gOd61J
T&C",financial
You are special to us! Your credit limit has been pre-approved upto Rs.60000 with ZIP. Shop at 1 Lakh brands & pay later. Activate: w6em.app.link/zsm -MobiKwik,financial
"Good News..!! Your Loan Amount for Rs.70000.00 Is Successfully Approved Check Your Loan Status m01.in/4dpcov!6mm78ks

Hexa",financial
"Your credit card with a maximum limit of $5 million has been approved with various benefits. Please click the following link: 0kb.in/s/IZ6C8om T&C apply to begin the process.

",financial
"Your Credit Card of Limit Upto 5 Lac Has Been Approved With Many Benefits. Please click the following link to begin the process: 0kb.in/s/IZ6C8om T&C apply.

",financial
Congratulations! Your credit card application has been approved. Your credit limit is up to 5 lakhs. Click the link below to begin the process: 0kb.in/s/IZ6C8om T&C apply.,financial
We're excited to announce that your credit card application has been approved! Your credit limit is up to 5 lakhs. Click the link below to begin the process and start enjoying all the benefits of your new card: 0kb.in/s/IZ6C8om T&C apply.,financial
Your credit card application has been approved. You're now one step closer to enjoying all the benefits of a 5 lakh credit limit. Click the link below to begin the process: 0kb.in/s/IZ6C8om T&C apply.,financial
